player,team,league,age,gls_per90,ast_per90,sh_per90,sot_pct,goals_per_shot,goals_per_sot,sot_per90
Craig Goodwin,Adelaide United,AUS-A-League,33,0.23,0.31,1.31,41.2,0.18,0.43,0.54
Jonny Yull,Adelaide United,AUS-A-League,20,0.2,0.25,2.03,51.2,0.1,0.19,1.04
Luka Jovanovic,Adelaide United,AUS-A-League,20,0.61,0.17,3.05,41.8,0.2,0.48,1.27
Guillermo May,Auckland FC,AUS-A-League,27,0.33,0.26,3.31,34.0,0.1,0.29,1.12
Jesse Randall,Auckland FC,AUS-A-League,22,0.38,0.26,3.37,39.2,0.11,0.29,1.32
Lachlan Brook,Auckland FC,AUS-A-League,24,0.41,0.05,3.29,29.2,0.12,0.42,0.96
Sam Cosgrove,Auckland FC,AUS-A-League,28,0.51,0.19,3.22,43.5,0.16,0.37,1.4
Chris Long,Brisbane,AUS-A-League,30,0.35,0.09,2.11,45.8,0.13,0.27,0.96
Justin Vidic,Brisbane,AUS-A-League,21,0.28,0.14,2.65,31.6,0.11,0.33,0.84
Michael Ruhs,Brisbane,AUS-A-League,22,0.06,0.13,1.61,32.0,0.04,0.13,0.51
Ali Auglah,Central Coast Mariners,AUS-A-League,23,0.41,0.0,1.33,43.8,0.31,0.71,0.58
Bailey Brandtman,Central Coast Mariners,AUS-A-League,20,0.32,0.16,1.85,21.7,0.17,0.8,0.4
Miguel Di Pizio,Central Coast Mariners,AUS-A-League,19,0.2,0.26,1.89,20.7,0.1,0.5,0.39
Oliver Lavale,Central Coast Mariners,AUS-A-League,20,0.19,0.0,1.31,50.0,0.14,0.29,0.65
Sabit James,Central Coast Mariners,AUS-A-League,24,0.27,0.0,0.94,71.4,0.29,0.4,0.67
Sebit Ngor,Central Coast Mariners,AUS-A-League,24,0.51,0.13,2.78,45.5,0.18,0.4,1.26
Dean Bosnjak,Macarthur FC,AUS-A-League,18,0.24,0.08,2.13,37.0,0.11,0.3,0.79
Harry Sawyer,Macarthur FC,AUS-A-League,28,0.49,0.08,3.99,40.8,0.08,0.2,1.63
Mitchell Duke,Macarthur FC,AUS-A-League,34,0.53,0.32,3.26,29.0,0.16,0.56,0.95
Rafa Durán,Macarthur FC,AUS-A-League,27,0.36,0.18,2.26,48.0,0.16,0.33,1.08
Andrew Nabbout,Melb City,AUS-A-League,32,0.23,0.0,2.39,14.3,0.1,0.67,0.34
Elba Rashani,Melb City,AUS-A-League,32,0.13,0.13,2.14,23.5,0.06,0.25,0.5
Kavian Rahmani,Melb City,AUS-A-League,18,0.2,0.0,1.12,45.5,0.18,0.4,0.51
Marcus Younis,Melb City,AUS-A-League,20,0.77,0.33,3.41,48.4,0.19,0.4,1.65
Max Caputo,Melb City,AUS-A-League,19,0.46,0.06,2.37,41.5,0.17,0.41,0.98
Medin Memeti,Melb City,AUS-A-League,18,0.37,0.09,2.79,56.7,0.13,0.24,1.58
Takeshi Kanamori,Melb City,AUS-A-League,31,0.1,0.21,1.57,33.3,0.07,0.2,0.52
Charles Nduka,Melbourne Victory,AUS-A-League,26,0.57,0.23,2.41,52.4,0.24,0.45,1.26
Nikos Vergos,Melbourne Victory,AUS-A-League,29,0.51,0.07,3.27,46.7,0.16,0.33,1.53
Ben Gibson,Newcastle Jets,AUS-A-League,22,0.52,0.13,2.71,61.9,0.19,0.31,1.68
Clayton Taylor,Newcastle Jets,AUS-A-League,21,0.62,0.14,3.08,37.8,0.2,0.53,1.17
Eli Adams,Newcastle Jets,AUS-A-League,23,0.55,0.27,3.47,41.2,0.14,0.33,1.43
Lachlan Rose,Newcastle Jets,AUS-A-League,26,0.45,0.06,2.6,41.3,0.15,0.37,1.07
Adam Taggart,Perth Glory,AUS-A-League,32,0.32,0.13,3.56,32.1,0.09,0.28,1.14
Jaiden Kucharski,Perth Glory,AUS-A-League,23,0.26,0.26,2.26,23.1,0.12,0.5,0.52
Sebastian Despotovski,Perth Glory,AUS-A-League,19,0.24,0.08,2.44,25.8,0.1,0.38,0.63
Tom Lawrence,Perth Glory,AUS-A-League,31,0.44,0.18,2.98,38.2,0.15,0.38,1.14
Ahmet Arslan,Sydney FC,AUS-A-League,31,0.11,0.0,3.47,25.0,0.03,0.13,0.87
